id,UBX-NAV-PVT:lon,UBX-NAV-PVT:lat,UBX-NAV-PVT:height,UBX-NAV-PVT:year,UBX-NAV-PVT:month,UBX-NAV-PVT:day,UBX-NAV-PVT:hour,UBX-NAV-PVT:min,UBX-NAV-PVT:sec
1363,-17657865,537904501,196627,2022,11,14,15,1,15
1364,-17657678,537904529,197222,2022,11,14,15,1,16
1365,-17657412,537904573,197297,2022,11,14,15,1,17
1366,-17657353,537904578,196898,2022,11,14,15,1,18
1367,-17657429,537904560,197012,2022,11,14,15,1,19
1368,-17657359,537904571,197156,2022,11,14,15,1,20
1369,-17657226,537904590,197116,2022,11,14,15,1,21
1370,-17657082,537904612,197114,2022,11,14,15,1,22
1371,-17657362,537904564,196415,2022,11,14,15,1,23
1372,-17657266,537904580,196635,2022,11,14,15,1,24
1373,-17657168,537904595,196742,2022,11,14,15,1,25
1374,-17657072,537904615,196742,2022,11,14,15,1,26
1375,-17656976,537904634,196742,2022,11,14,15,1,27
1376,-17656283,537904733,196499,2022,11,14,15,1,28
1377,-17656182,537904742,196459,2022,11,14,15,1,29
1378,-17656653,537904651,196485,2022,11,14,15,1,30
1379,-17656468,537904676,196892,2022,11,14,15,1,31
1380,-17656311,537904704,196891,2022,11,14,15,1,32
1381,-17656199,537904715,196960,2022,11,14,15,1,33
1382,-17656080,537904728,196925,2022,11,14,15,1,34
1383,-17655961,537904750,196925,2022,11,14,15,1,35
1384,-17655843,537904771,196925,2022,11,14,15,1,36
1385,-17655724,537904792,196925,2022,11,14,15,1,37
1386,-17655606,537904814,196925,2022,11,14,15,1,38
1387,-17655487,537904835,196925,2022,11,14,15,1,39
1388,-17655369,537904856,196925,2022,11,14,15,1,40
1389,-17658009,537904388,195699,2022,11,14,15,1,42
1390,-17659248,537904179,195602,2022,11,14,15,1,43
1391,-17659452,537904147,195597,2022,11,14,15,1,44
1392,-17659945,537904074,195505,2022,11,14,15,1,45
1393,-17660751,537903959,195468,2022,11,14,15,1,46
1394,-17661634,537903826,194856,2022,11,14,15,1,47
1395,-17662532,537903683,194867,2022,11,14,15,1,48
1396,-17663613,537903501,194752,2022,11,14,15,1,49
1397,-17663785,537903479,194652,2022,11,14,15,1,50
1398,-17664153,537903424,194699,2022,11,14,15,1,51
1399,-17664076,537903445,194674,2022,11,14,15,1,52
1400,-17663831,537903486,194465,2022,11,14,15,1,53
1401,-17663905,537903478,194667,2022,11,14,15,1,54
1402,-17663824,537903496,194780,2022,11,14,15,1,55
1403,-17663485,537903559,195301,2022,11,14,15,1,56
1404,-17663389,537903585,195328,2022,11,14,15,1,57
1405,-17663225,537903623,195336,2022,11,14,15,1,58
1406,-17663117,537903656,195325,2022,11,14,15,1,59
1407,-17662911,537903706,195273,2022,11,14,15,2,0
1408,-17662801,537903733,195473,2022,11,14,15,2,1
1409,-17662582,537903780,195461,2022,11,14,15,2,2
1410,-17662608,537903786,194821,2022,11,14,15,2,3
1411,-17662485,537903814,195008,2022,11,14,15,2,4
1412,-17662495,537903822,195004,2022,11,14,15,2,5
1413,-17662293,537903864,194926,2022,11,14,15,2,6
1414,-17662341,537903867,194867,2022,11,14,15,2,7
1415,-17662106,537903918,195173,2022,11,14,15,2,8
1416,-17661934,537903954,195375,2022,11,14,15,2,9
1417,-17661903,537903967,195275,2022,11,14,15,2,10
1418,-17662054,537903948,195047,2022,11,14,15,2,11
1419,-17661701,537904015,195237,2022,11,14,15,2,12
1420,-17661544,537904046,195461,2022,11,14,15,2,13
1421,-17661499,537904052,195462,2022,11,14,15,2,14
1422,-17661453,537904058,195462,2022,11,14,15,2,15
1423,-17661408,537904064,195463,2022,11,14,15,2,16
1424,-17661363,537904070,195464,2022,11,14,15,2,17
1425,-17661317,537904076,195464,2022,11,14,15,2,18
1426,-17662607,537903885,194120,2022,11,14,15,2,20
1427,-17663431,537903761,194039,2022,11,14,15,2,21
1428,-17664092,537903662,193867,2022,11,14,15,2,22
1429,-17664689,537903573,193779,2022,11,14,15,2,23
1430,-17665134,537903499,193692,2022,11,14,15,2,24
1431,-17665733,537903398,193631,2022,11,14,15,2,25
1432,-17666088,537903333,193479,2022,11,14,15,2,26
1433,-17666387,537903275,193524,2022,11,14,15,2,27
1434,-17666354,537903281,193524,2022,11,14,15,2,28
1435,-17666321,537903287,193524,2022,11,14,15,2,29
1436,-17666289,537903293,193524,2022,11,14,15,2,30
1437,-17666256,537903299,193524,2022,11,14,15,2,31
1438,-17666223,537903305,193524,2022,11,14,15,2,32
1439,-17666066,537903314,193355,2022,11,14,15,2,33
1440,-17666153,537903276,193325,2022,11,14,15,2,34
1441,-17666051,537903296,193578,2022,11,14,15,2,35
1442,-17666493,537903220,193773,2022,11,14,15,2,36
1443,-17666122,537903276,193959,2022,11,14,15,2,37
1444,-17666072,537903278,194133,2022,11,14,15,2,38
1445,-17665844,537903312,194315,2022,11,14,15,2,39
1446,-17665591,537903355,194454,2022,11,14,15,2,40
1447,-17665278,537903408,194632,2022,11,14,15,2,41
1448,-17664945,537903471,195127,2022,11,14,15,2,42
1449,-17664442,537903563,194929,2022,11,14,15,2,43
1450,-17664203,537903605,194658,2022,11,14,15,2,44
1451,-17663940,537903656,194632,2022,11,14,15,2,45
1452,-17663707,537903702,194672,2022,11,14,15,2,46
1453,-17663177,537903793,195138,2022,11,14,15,2,47
1454,-17662729,537903869,194928,2022,11,14,15,2,48
1455,-17662266,537903944,195233,2022,11,14,15,2,49
1456,-17661859,537904011,195656,2022,11,14,15,2,50
