id,UBX-NAV-PVT:lon,UBX-NAV-PVT:lat,UBX-NAV-PVT:height,UBX-NAV-PVT:year,UBX-NAV-PVT:month,UBX-NAV-PVT:day,UBX-NAV-PVT:hour,UBX-NAV-PVT:min,UBX-NAV-PVT:sec
2788,-17657173,537903358,216789,2022,11,14,15,33,20
2789,-17657162,537903365,216674,2022,11,14,15,33,21
2790,-17657140,537903381,216458,2022,11,14,15,33,22
2791,-17657045,537903458,215522,2022,11,14,15,33,25
2792,-17657007,537903488,215150,2022,11,14,15,33,26
2793,-17656968,537903518,214771,2022,11,14,15,33,27
2794,-17656928,537903549,214395,2022,11,14,15,33,28
2795,-17656889,537903578,214048,2022,11,14,15,33,29
2796,-17656854,537903603,213755,2022,11,14,15,33,30
2797,-17656808,537903635,213342,2022,11,14,15,33,31
2798,-17656766,537903665,212982,2022,11,14,15,33,32
2799,-17656684,537903720,212292,2022,11,14,15,33,34
2800,-17656659,537903736,212090,2022,11,14,15,33,35
2801,-17656629,537903754,211853,2022,11,14,15,33,36
2802,-17656603,537903770,211632,2022,11,14,15,33,37
2803,-17656581,537903784,211422,2022,11,14,15,33,38
2804,-17656578,537903782,211370,2022,11,14,15,33,39
2805,-17656574,537903783,211293,2022,11,14,15,33,40
2806,-17656560,537903790,211132,2022,11,14,15,33,41
2807,-17656543,537903800,210937,2022,11,14,15,33,42
2808,-17656521,537903815,210698,2022,11,14,15,33,43
2809,-17656506,537903827,210485,2022,11,14,15,33,44
2810,-17656487,537903841,210232,2022,11,14,15,33,45
2811,-17656467,537903857,209962,2022,11,14,15,33,46
2812,-17656460,537903864,209810,2022,11,14,15,33,47
2813,-17656444,537903875,209557,2022,11,14,15,33,48
2814,-17656433,537903882,209402,2022,11,14,15,33,49
2815,-17656423,537903889,209237,2022,11,14,15,33,50
2816,-17656415,537903893,209091,2022,11,14,15,33,51
2817,-17656404,537903900,208924,2022,11,14,15,33,52
2818,-17656394,537903905,208765,2022,11,14,15,33,53
2819,-17656385,537903908,208631,2022,11,14,15,33,54
2820,-17656376,537903910,208505,2022,11,14,15,33,55
2821,-17656370,537903911,208401,2022,11,14,15,33,56
2822,-17656361,537903915,208268,2022,11,14,15,33,57
2823,-17656353,537903919,208140,2022,11,14,15,33,58
2824,-17656346,537903922,208020,2022,11,14,15,33,59
2825,-17656343,537903925,207929,2022,11,14,15,34,0
2826,-17656336,537903930,207816,2022,11,14,15,34,1
2827,-17656330,537903936,207696,2022,11,14,15,34,2
2828,-17656323,537903942,207568,2022,11,14,15,34,3
2829,-17656313,537903949,207428,2022,11,14,15,34,4
2830,-17656281,537903970,206948,2022,11,14,15,34,7
2831,-17656273,537903974,206813,2022,11,14,15,34,8
2832,-17656263,537903978,206669,2022,11,14,15,34,9
2833,-17656254,537903984,206549,2022,11,14,15,34,10
2834,-17656249,537903988,206402,2022,11,14,15,34,12
2835,-17656237,537903992,206275,2022,11,14,15,34,13
2836,-17656211,537903998,205985,2022,11,14,15,34,16
2837,-17656200,537904002,205864,2022,11,14,15,34,17
2838,-17656197,537904001,205815,2022,11,14,15,34,18
2839,-17656188,537904002,205721,2022,11,14,15,34,19
2840,-17656181,537904000,205610,2022,11,14,15,34,21
2841,-17656204,537903986,205718,2022,11,14,15,34,22
2842,-17656217,537903976,205744,2022,11,14,15,34,23
2843,-17656229,537903966,205791,2022,11,14,15,34,24
2844,-17656237,537903959,205797,2022,11,14,15,34,25
2845,-17656243,537903954,205799,2022,11,14,15,34,26
2846,-17656242,537903951,205747,2022,11,14,15,34,27
2847,-17656246,537903948,205734,2022,11,14,15,34,28
2848,-17656273,537903934,205863,2022,11,14,15,34,29
2849,-17656290,537903924,205955,2022,11,14,15,34,30
2850,-17656314,537903910,206108,2022,11,14,15,34,31
2851,-17656347,537903888,206356,2022,11,14,15,34,32
2852,-17656372,537903871,206569,2022,11,14,15,34,33
2853,-17656369,537903868,206591,2022,11,14,15,34,34
2854,-17656364,537903869,206595,2022,11,14,15,34,35
2855,-17656360,537903870,206626,2022,11,14,15,34,36
2856,-17656353,537903873,206628,2022,11,14,15,34,37
2857,-17656352,537903874,206699,2022,11,14,15,34,38
2858,-17656349,537903875,206763,2022,11,14,15,34,39
2859,-17656346,537903876,206817,2022,11,14,15,34,40
2860,-17656347,537903876,206947,2022,11,14,15,34,42
2861,-17656351,537903875,207041,2022,11,14,15,34,43
2862,-17656383,537903862,207347,2022,11,14,15,34,45
2863,-17656413,537903850,207617,2022,11,14,15,34,46
2864,-17656433,537903842,207807,2022,11,14,15,34,47
2865,-17656463,537903828,208058,2022,11,14,15,34,48
2866,-17656483,537903817,208233,2022,11,14,15,34,49
2867,-17656487,537903815,208303,2022,11,14,15,34,50
2868,-17656486,537903816,208350,2022,11,14,15,34,51
2869,-17656478,537903821,208341,2022,11,14,15,34,52
2870,-17656463,537903831,208361,2022,11,14,15,34,54
2871,-17656456,537903835,208365,2022,11,14,15,34,55
2872,-17656448,537903841,208366,2022,11,14,15,34,56
2873,-17656436,537903848,208341,2022,11,14,15,34,57
2874,-17656431,537903856,208412,2022,11,14,15,34,59
2875,-17656426,537903860,208422,2022,11,14,15,35,0
2876,-17656418,537903866,208475,2022,11,14,15,35,2
2877,-17656418,537903867,208523,2022,11,14,15,35,3
2878,-17656395,537903879,208458,2022,11,14,15,35,5
2879,-17656389,537903883,208467,2022,11,14,15,35,6
2880,-17656392,537903882,208532,2022,11,14,15,35,7
2881,-17656382,537903890,208492,2022,11,14,15,35,8
2882,-17656377,537903896,208476,2022,11,14,15,35,9
2883,-17656350,537903913,208294,2022,11,14,15,35,10
2884,-17656318,537903934,208089,2022,11,14,15,35,11
2885,-17656267,537903963,207737,2022,11,14,15,35,12
2886,-17656246,537903976,207616,2022,11,14,15,35,13
2887,-17656216,537904000,207432,2022,11,14,15,35,15
2888,-17656226,537903998,207539,2022,11,14,15,35,16
2889,-17656244,537903995,207685,2022,11,14,15,35,17
2890,-17656255,537904001,207848,2022,11,14,15,35,20
2891,-17656267,537903993,208006,2022,11,14,15,35,21
2892,-17656277,537903988,208285,2022,11,14,15,35,24
2893,-17656270,537903994,208278,2022,11,14,15,35,25
2894,-17656263,537904000,208254,2022,11,14,15,35,26
2895,-17656265,537904003,208289,2022,11,14,15,35,27
2896,-17656268,537904005,208320,2022,11,14,15,35,28
2897,-17656288,537903999,208475,2022,11,14,15,35,29
2898,-17656311,537903993,208629,2022,11,14,15,35,30
2899,-17656330,537903986,208768,2022,11,14,15,35,31
2900,-17656389,537903961,209214,2022,11,14,15,35,33
2901,-17656412,537903952,209392,2022,11,14,15,35,34
2902,-17656427,537903946,209506,2022,11,14,15,35,35
2903,-17656448,537903936,209649,2022,11,14,15,35,36
2904,-17656472,537903923,209842,2022,11,14,15,35,37
2905,-17656474,537903923,209874,2022,11,14,15,35,38
2906,-17656471,537903925,209856,2022,11,14,15,35,39
2907,-17656471,537903926,209852,2022,11,14,15,35,40
2908,-17656480,537903921,209904,2022,11,14,15,35,42
2909,-17656495,537903912,209972,2022,11,14,15,35,43
2910,-17656536,537903893,210140,2022,11,14,15,35,45
2911,-17656553,537903885,210205,2022,11,14,15,35,46
2912,-17656589,537903869,210315,2022,11,14,15,35,48
2913,-17656605,537903862,210381,2022,11,14,15,35,49
2914,-17656620,537903857,210415,2022,11,14,15,35,50
2915,-17656637,537903849,210465,2022,11,14,15,35,51
2916,-17656652,537903843,210503,2022,11,14,15,35,52
2917,-17656665,537903837,210522,2022,11,14,15,35,53
2918,-17656676,537903831,210546,2022,11,14,15,35,54
2919,-17656673,537903831,210467,2022,11,14,15,35,55
2920,-17656670,537903831,210400,2022,11,14,15,35,56
2921,-17656666,537903831,210310,2022,11,14,15,35,57
2922,-17656663,537903831,210231,2022,11,14,15,35,58
2923,-17656659,537903832,210134,2022,11,14,15,35,59
2924,-17656657,537903831,210065,2022,11,14,15,36,0
2925,-17656655,537903830,210007,2022,11,14,15,36,1
2926,-17656656,537903827,209994,2022,11,14,15,36,2
2927,-17656654,537903826,209955,2022,11,14,15,36,3
2928,-17656650,537903822,209871,2022,11,14,15,36,5
2929,-17656647,537903822,209808,2022,11,14,15,36,6
