id,UBX-NAV-PVT:lon,UBX-NAV-PVT:lat,UBX-NAV-PVT:height,UBX-NAV-PVT:year,UBX-NAV-PVT:month,UBX-NAV-PVT:day,UBX-NAV-PVT:hour,UBX-NAV-PVT:min,UBX-NAV-PVT:sec
6326,-17660168,537901521,221540,2022,11,14,16,35,46
6327,-17660150,537901541,221477,2022,11,14,16,35,47
6328,-17660129,537901563,221391,2022,11,14,16,35,48
6329,-17660111,537901586,221293,2022,11,14,16,35,49
6330,-17660088,537901612,221209,2022,11,14,16,35,50
6331,-17660066,537901639,221103,2022,11,14,16,35,51
6332,-17660048,537901665,221084,2022,11,14,16,35,52
6333,-17660027,537901691,221187,2022,11,14,16,35,53
6334,-17660007,537901717,221183,2022,11,14,16,35,54
6335,-17659984,537901744,221202,2022,11,14,16,35,55
6336,-17659963,537901771,221338,2022,11,14,16,35,56
6337,-17659943,537901794,221420,2022,11,14,16,35,57
6338,-17659922,537901818,221439,2022,11,14,16,35,58
6339,-17659901,537901844,221479,2022,11,14,16,35,59
6340,-17659883,537901868,221418,2022,11,14,16,36,0
6341,-17659862,537901893,221490,2022,11,14,16,36,1
6342,-17659844,537901916,221569,2022,11,14,16,36,2
6343,-17659824,537901938,221580,2022,11,14,16,36,3
6344,-17659802,537901960,221750,2022,11,14,16,36,4
6345,-17659783,537901982,221677,2022,11,14,16,36,5
6346,-17659758,537902005,221765,2022,11,14,16,36,6
6347,-17659740,537902025,221737,2022,11,14,16,36,7
6348,-17659723,537902045,221713,2022,11,14,16,36,8
6349,-17659704,537902066,221754,2022,11,14,16,36,9
6350,-17659688,537902085,221708,2022,11,14,16,36,10
6351,-17659673,537902104,221701,2022,11,14,16,36,11
6352,-17659656,537902123,221678,2022,11,14,16,36,12
6353,-17659640,537902141,221726,2022,11,14,16,36,13
6354,-17659625,537902157,221853,2022,11,14,16,36,14
6355,-17659608,537902175,221900,2022,11,14,16,36,15
6356,-17659595,537902190,221921,2022,11,14,16,36,16
6357,-17659584,537902203,221973,2022,11,14,16,36,17
6358,-17659572,537902217,222017,2022,11,14,16,36,18
6359,-17659562,537902231,222088,2022,11,14,16,36,19
6360,-17659550,537902246,222031,2022,11,14,16,36,20
6361,-17659539,537902260,222116,2022,11,14,16,36,21
6362,-17659499,537902299,222167,2022,11,14,16,36,24
6363,-17659484,537902311,222297,2022,11,14,16,36,25
6364,-17659473,537902321,222334,2022,11,14,16,36,26
6365,-17659463,537902332,222329,2022,11,14,16,36,27
6366,-17659452,537902342,222362,2022,11,14,16,36,28
6367,-17659439,537902353,222416,2022,11,14,16,36,29
6368,-17659427,537902363,222331,2022,11,14,16,36,30
6369,-17659412,537902373,222347,2022,11,14,16,36,31
6370,-17659396,537902385,222369,2022,11,14,16,36,32
6371,-17659384,537902396,222419,2022,11,14,16,36,33
6372,-17659369,537902406,222489,2022,11,14,16,36,34
6373,-17659354,537902418,222368,2022,11,14,16,36,35
6374,-17659340,537902430,222311,2022,11,14,16,36,36
6375,-17659326,537902441,222281,2022,11,14,16,36,37
6376,-17659312,537902452,222309,2022,11,14,16,36,38
6377,-17659298,537902463,222413,2022,11,14,16,36,39
6378,-17659286,537902474,222299,2022,11,14,16,36,40
6379,-17659274,537902485,222347,2022,11,14,16,36,41
6380,-17659260,537902496,222359,2022,11,14,16,36,42
6381,-17659244,537902508,222351,2022,11,14,16,36,43
6382,-17659229,537902520,222478,2022,11,14,16,36,44
6383,-17659213,537902531,222618,2022,11,14,16,36,45
6384,-17659201,537902541,222728,2022,11,14,16,36,46
6385,-17659188,537902551,222729,2022,11,14,16,36,47
6386,-17659169,537902561,222672,2022,11,14,16,36,48
6387,-17659156,537902569,222815,2022,11,14,16,36,49
6388,-17659144,537902577,222850,2022,11,14,16,36,50
6389,-17659132,537902584,222864,2022,11,14,16,36,51
6390,-17659120,537902590,222864,2022,11,14,16,36,52
6391,-17659111,537902596,222759,2022,11,14,16,36,53
6392,-17659102,537902602,222666,2022,11,14,16,36,54
6393,-17659093,537902609,222620,2022,11,14,16,36,55
6394,-17659082,537902617,222722,2022,11,14,16,36,56
6395,-17659071,537902624,222721,2022,11,14,16,36,57
6396,-17659059,537902631,222785,2022,11,14,16,36,58
6397,-17659046,537902639,222739,2022,11,14,16,36,59
6398,-17659033,537902646,222673,2022,11,14,16,37,0
6399,-17659024,537902652,222635,2022,11,14,16,37,1
6400,-17659014,537902660,222529,2022,11,14,16,37,2
6401,-17659003,537902668,222526,2022,11,14,16,37,3
6402,-17658988,537902677,222409,2022,11,14,16,37,4
6403,-17658975,537902685,222447,2022,11,14,16,37,5
6404,-17658963,537902693,222454,2022,11,14,16,37,6
6405,-17658951,537902702,222484,2022,11,14,16,37,7
6406,-17658940,537902710,222506,2022,11,14,16,37,8
6407,-17658931,537902717,222463,2022,11,14,16,37,9
6408,-17658920,537902726,222457,2022,11,14,16,37,10
6409,-17658911,537902734,222480,2022,11,14,16,37,11
6410,-17658896,537902744,222462,2022,11,14,16,37,12
6411,-17658883,537902753,222495,2022,11,14,16,37,13
6412,-17658871,537902763,222521,2022,11,14,16,37,14
6413,-17658862,537902772,222452,2022,11,14,16,37,15
6414,-17658854,537902782,222484,2022,11,14,16,37,16
