id,UBX-NAV-PVT:lon,UBX-NAV-PVT:lat,UBX-NAV-PVT:height,UBX-NAV-PVT:year,UBX-NAV-PVT:month,UBX-NAV-PVT:day,UBX-NAV-PVT:hour,UBX-NAV-PVT:min,UBX-NAV-PVT:sec
5401,-17657500,537902427,220024,2022,11,14,16,19,7
5402,-17657493,537902418,219982,2022,11,14,16,19,8
5403,-17657488,537902413,219896,2022,11,14,16,19,9
5404,-17657487,537902404,219870,2022,11,14,16,19,10
5405,-17657484,537902396,219825,2022,11,14,16,19,11
5406,-17657483,537902388,219783,2022,11,14,16,19,12
5407,-17657486,537902377,219784,2022,11,14,16,19,13
5408,-17657483,537902373,219693,2022,11,14,16,19,14
5409,-17657481,537902369,219610,2022,11,14,16,19,15
5410,-17657481,537902366,219569,2022,11,14,16,19,16
5411,-17657480,537902363,219551,2022,11,14,16,19,17
5412,-17657475,537902362,219529,2022,11,14,16,19,18
5413,-17657465,537902366,219481,2022,11,14,16,19,19
5414,-17657445,537902364,219490,2022,11,14,16,19,22
5415,-17657440,537902366,219487,2022,11,14,16,19,23
5416,-17657433,537902364,219637,2022,11,14,16,19,25
5417,-17657428,537902365,219688,2022,11,14,16,19,26
5418,-17657409,537902378,219599,2022,11,14,16,19,27
5419,-17657395,537902387,219537,2022,11,14,16,19,28
5420,-17657400,537902368,219716,2022,11,14,16,19,29
5421,-17657419,537902335,219995,2022,11,14,16,19,30
5422,-17657420,537902322,220096,2022,11,14,16,19,31
5423,-17657419,537902307,220243,2022,11,14,16,19,32
5424,-17657404,537902304,220273,2022,11,14,16,19,33
5425,-17657407,537902284,220439,2022,11,14,16,19,34
5426,-17657411,537902266,220580,2022,11,14,16,19,35
5427,-17657417,537902246,220749,2022,11,14,16,19,36
5428,-17657410,537902238,220805,2022,11,14,16,19,37
5429,-17657415,537902224,220929,2022,11,14,16,19,38
5430,-17657423,537902210,221100,2022,11,14,16,19,39
5431,-17657435,537902200,221271,2022,11,14,16,19,40
5432,-17657456,537902184,221535,2022,11,14,16,19,41
5433,-17657502,537902156,221995,2022,11,14,16,19,44
5434,-17657521,537902147,222178,2022,11,14,16,19,45
5435,-17657546,537902134,222409,2022,11,14,16,19,46
5436,-17657565,537902126,222576,2022,11,14,16,19,47
5437,-17657590,537902118,222783,2022,11,14,16,19,48
5438,-17657615,537902108,222989,2022,11,14,16,19,49
5439,-17657638,537902101,223187,2022,11,14,16,19,50
5440,-17657660,537902095,223367,2022,11,14,16,19,51
5441,-17657686,537902089,223570,2022,11,14,16,19,52
5442,-17657715,537902081,223781,2022,11,14,16,19,53
5443,-17657751,537902075,223988,2022,11,14,16,19,54
5444,-17657784,537902073,224180,2022,11,14,16,19,55
5445,-17657811,537902074,224305,2022,11,14,16,19,56
5446,-17657838,537902076,224411,2022,11,14,16,19,57
5447,-17657865,537902079,224472,2022,11,14,16,19,58
5448,-17657897,537902078,224544,2022,11,14,16,19,59
5449,-17657931,537902079,224572,2022,11,14,16,20,0
5450,-17657958,537902085,224572,2022,11,14,16,20,1
5451,-17657983,537902093,224541,2022,11,14,16,20,2
5452,-17658007,537902097,224550,2022,11,14,16,20,3
5453,-17658031,537902103,224545,2022,11,14,16,20,4
5454,-17658051,537902112,224504,2022,11,14,16,20,5
5455,-17658071,537902113,224565,2022,11,14,16,20,6
5456,-17658088,537902112,224592,2022,11,14,16,20,7
5457,-17658096,537902116,224525,2022,11,14,16,20,8
5458,-17658107,537902115,224511,2022,11,14,16,20,9
5459,-17658121,537902113,224515,2022,11,14,16,20,10
5460,-17658141,537902109,224579,2022,11,14,16,20,11
5461,-17658157,537902107,224643,2022,11,14,16,20,12
5462,-17658173,537902105,224682,2022,11,14,16,20,13
5463,-17658181,537902109,224648,2022,11,14,16,20,14
5464,-17658193,537902109,224658,2022,11,14,16,20,15
5465,-17658211,537902108,224736,2022,11,14,16,20,16
5466,-17658224,537902110,224732,2022,11,14,16,20,17
5467,-17658236,537902113,224726,2022,11,14,16,20,18
5468,-17658246,537902116,224704,2022,11,14,16,20,19
5469,-17658258,537902118,224699,2022,11,14,16,20,20
5470,-17658267,537902122,224634,2022,11,14,16,20,21
5471,-17658279,537902124,224636,2022,11,14,16,20,22
5472,-17658290,537902125,224632,2022,11,14,16,20,23
5473,-17658302,537902128,224639,2022,11,14,16,20,24
5474,-17658314,537902129,224641,2022,11,14,16,20,25
5475,-17658325,537902131,224615,2022,11,14,16,20,26
5476,-17658333,537902134,224612,2022,11,14,16,20,27
5477,-17658334,537902139,224556,2022,11,14,16,20,28
5478,-17658330,537902147,224506,2022,11,14,16,20,29
5479,-17658330,537902152,224505,2022,11,14,16,20,30
5480,-17658328,537902159,224467,2022,11,14,16,20,31
5481,-17658323,537902167,224423,2022,11,14,16,20,32
5482,-17658331,537902166,224479,2022,11,14,16,20,33
5483,-17658339,537902164,224530,2022,11,14,16,20,34
5484,-17658350,537902161,224602,2022,11,14,16,20,35
5485,-17658356,537902161,224652,2022,11,14,16,20,36
5486,-17658358,537902162,224692,2022,11,14,16,20,37
5487,-17658360,537902161,224777,2022,11,14,16,20,38
5488,-17658360,537902161,224813,2022,11,14,16,20,39
5489,-17658359,537902161,224824,2022,11,14,16,20,40
5490,-17658355,537902163,224851,2022,11,14,16,20,41
5491,-17658346,537902166,224807,2022,11,14,16,20,42
5492,-17658334,537902170,224741,2022,11,14,16,20,43
5493,-17658319,537902171,224689,2022,11,14,16,20,44
5494,-17658307,537902172,224648,2022,11,14,16,20,45
5495,-17658297,537902172,224604,2022,11,14,16,20,46
5496,-17658282,537902172,224538,2022,11,14,16,20,47
5497,-17658266,537902173,224489,2022,11,14,16,20,48
5498,-17658253,537902180,224387,2022,11,14,16,20,49
5499,-17658239,537902191,224271,2022,11,14,16,20,50
5500,-17658219,537902204,224125,2022,11,14,16,20,51
5501,-17658205,537902211,223999,2022,11,14,16,20,52
5502,-17658188,537902218,223860,2022,11,14,16,20,53
5503,-17658163,537902231,223692,2022,11,14,16,20,54
5504,-17658139,537902240,223564,2022,11,14,16,20,55
5505,-17658127,537902242,223490,2022,11,14,16,20,56
5506,-17658121,537902245,223445,2022,11,14,16,20,57
5507,-17658120,537902250,223389,2022,11,14,16,20,58
5508,-17658122,537902247,223425,2022,11,14,16,20,59
5509,-17658123,537902245,223421,2022,11,14,16,21,0
5510,-17658113,537902246,223389,2022,11,14,16,21,1
5511,-17658108,537902248,223340,2022,11,14,16,21,2
5512,-17658107,537902248,223339,2022,11,14,16,21,3
5513,-17658097,537902250,223288,2022,11,14,16,21,4
5514,-17658096,537902249,223297,2022,11,14,16,21,5
5515,-17658115,537902244,223411,2022,11,14,16,21,6
5516,-17658105,537902253,223367,2022,11,14,16,21,7
5517,-17658092,537902263,223312,2022,11,14,16,21,8
5518,-17658092,537902268,223323,2022,11,14,16,21,9
5519,-17658099,537902272,223370,2022,11,14,16,21,10
5520,-17658101,537902277,223404,2022,11,14,16,21,11
5521,-17658106,537902279,223465,2022,11,14,16,21,12
5522,-17658110,537902282,223542,2022,11,14,16,21,13
5523,-17658117,537902288,223636,2022,11,14,16,21,14
5524,-17658135,537902292,223770,2022,11,14,16,21,15
5525,-17658156,537902301,223842,2022,11,14,16,21,16
5526,-17658172,537902308,223950,2022,11,14,16,21,17
5527,-17658200,537902311,224123,2022,11,14,16,21,18
5528,-17658229,537902315,224310,2022,11,14,16,21,19
